source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,latitude,longitude
104718,PAK,road-transportation,1-1-2021,12-31-2021,Yearly,co2e_20yr,4.614083289875775e+06,5.7746920364198614e-09,,24047.512059945864,km,,2.635502973640912e+10,vehicle km traveled (VKT),,,Karachi Urban Area in Karachi Division,,24.909129458404607,67.0699415444497
104718,PAK,road-transportation,1-1-2021,12-31-2021,Yearly,co2e_100yr,4.584854335244832e+06,5.7746920364198614e-09,,24047.512059945864,km,,2.635502973640912e+10,vehicle km traveled (VKT),,,Karachi Urban Area in Karachi Division,,24.909129458404607,67.0699415444497
104718,PAK,road-transportation,1-1-2022,12-31-2022,Yearly,n2o,152.04346510664024,5.774692036419858e-09,T of N2O per VKT,24113.837433011628,km,,2.632927680779022e+10,vehicle km traveled (VKT),,,Karachi Urban Area in Karachi Division,,24.909129458404607,67.0699415444497
104718,PAK,road-transportation,1-1-2022,12-31-2022,Yearly,co2,4.522354562066686e+06,0.000171761442408,T of CO2 per VKT,24113.837433011628,km,,2.632927680779022e+10,vehicle km traveled (VKT),,,Karachi Urban Area in Karachi Division,,24.909129458404607,67.0699415444497
104718,PAK,road-transportation,1-1-2022,12-31-2022,Yearly,ch4,554.0871619445123,2.1044526440641583e-08,T of CH4 per VKT,24113.837433011628,km,,2.632927680779022e+10,vehicle km traveled (VKT),,,Karachi Urban Area in Karachi Division,,24.909129458404607,67.0699415444497
104718,PAK,road-transportation,1-1-2022,12-31-2022,Yearly,co2e_20yr,4.609574618901228e+06,5.774692036419858e-09,,24113.837433011628,km,,2.632927680779022e+10,vehicle km traveled (VKT),,,Karachi Urban Area in Karachi Division,,24.909129458404607,67.0699415444497
104718,PAK,road-transportation,1-1-2022,12-31-2022,Yearly,co2e_100yr,4.580374225466751e+06,5.774692036419858e-09,,24113.837433011628,km,,2.632927680779022e+10,vehicle km traveled (VKT),,,Karachi Urban Area in Karachi Division,,24.909129458404607,67.0699415444497
25452477,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,n2o,,,field_not_modeled,2397,MW,0.394,8.265e+06,MWh,,,Guddu,"gas, other_fossil, oil",28.4249,69.7009
25452477,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2,4.783e+06,0.579,T of CO2 per MWh,2397,MW,0.394,8.265e+06,MWh,,,Guddu,"gas, other_fossil, oil",28.4249,69.7009
25452477,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,ch4,,,field_not_modeled,2397,MW,0.394,8.265e+06,MWh,,,Guddu,"gas, other_fossil, oil",28.4249,69.7009
